date,equity
2024-08-26,1.0
2024-08-27,1.0
2024-08-28,1.0
2024-08-29,1.0
2024-08-30,0.9875221052631579
2024-09-02,0.9875221052631579
2024-09-03,0.9875221052631579
2024-09-04,0.9875221052631579
2024-09-05,0.9911947137233508
2024-09-06,0.9911947137233508
2024-09-09,0.9911947137233508
2024-09-10,0.993520295533237
2024-09-11,0.993520295533237
2024-09-12,0.993520295533237
2024-09-13,0.993520295533237
2024-09-19,0.993520295533237
2024-09-20,0.993520295533237
2024-09-23,0.993520295533237
2024-09-24,0.993520295533237
2024-09-25,0.993520295533237
2024-09-26,0.993520295533237
2024-09-27,0.993520295533237
2024-09-30,1.0027997750935174
2024-10-02,1.0027997750935174
2024-10-04,1.0027997750935174
2024-10-07,1.0027997750935174
2024-10-08,1.0027997750935174
2024-10-10,1.0027997750935174
2024-10-11,1.0027997750935174
2024-10-14,0.9941155290412075
2024-10-15,0.9941155290412075
2024-10-16,0.9941155290412075
2024-10-17,0.9941155290412075
2024-10-18,0.9941155290412075
2024-10-21,0.9941155290412075
2024-10-22,0.9941155290412075
2024-10-23,0.9941155290412075
2024-10-24,0.9941155290412075
2024-10-25,0.9855064885597106
2024-10-28,0.9855064885597106
2024-10-29,0.9855064885597106
2024-10-30,0.9855064885597106
2024-10-31,0.9769720023687835
2024-11-01,0.9776363433303943
2024-11-04,0.9867674667771001
2024-11-05,0.9867674667771001
2024-11-06,0.9959838749167983
2024-11-07,0.9873586545600188
2024-11-08,0.9965805843936094
2024-11-11,0.9965805843936094
2024-11-12,0.979319808671912
2024-11-13,0.9891325931548046
2024-11-14,0.9812393150614293
2024-11-15,0.990404090264103
2024-11-18,0.9825006656237955
2024-11-19,0.968264423626096
2024-11-20,0.9685965470640013
2024-11-21,0.9699140340440785
2024-11-22,0.9699140340440785
2024-11-25,0.9734992588507123
2024-11-26,0.9734992588507123
2024-11-27,0.9734992588507123
2024-11-28,0.9714848874912965
2024-11-29,0.9714848874912965
2024-12-02,0.9852349778041469
2024-12-03,0.9852349778041469
2024-12-04,0.9852349778041469
2024-12-05,1.001164180771856
2024-12-06,1.001164180771856
2024-12-09,0.9924940989663719
2024-12-10,0.9886630017271413
2024-12-11,0.9629775369422702
2024-12-12,0.9596698107607708
2024-12-13,0.9430483296383942
2024-12-16,0.9436896025025484
2024-12-17,0.9355172505448763
2024-12-18,0.9355172505448763
2024-12-19,0.9274156711551577
2024-12-20,0.9460616489205028
2024-12-23,0.9400576819932556
2024-12-24,0.9488378207430725
2024-12-26,0.9488378207430725
2024-12-27,0.9488378207430725
2024-12-30,0.9494830304611779
2025-01-02,0.9583512019656852
2025-01-03,0.9583512019656852
2025-01-06,0.9590028807830219
2025-01-07,0.9590028807830219
2025-01-08,0.9585759545381569
2025-01-09,0.9585759545381569
2025-01-10,0.9589392174778117
2025-01-13,0.9506348038544539
2025-01-14,0.946134428275614
2025-01-15,0.946134428275614
2025-01-16,0.9430349548892109
2025-01-17,0.9430349548892109
2025-01-20,0.9430349548892109
2025-01-21,0.9430349548892109
2025-01-22,0.9430349548892109
2025-01-23,0.9522197406339556
2025-01-24,0.9522197406339556
2025-01-31,0.9522197406339556
2025-02-03,0.9547315068628887
2025-02-04,0.9338594525498782
2025-02-05,0.9338594525498782
2025-02-06,0.9338594525498782
2025-02-07,0.9338594525498782
2025-02-10,0.9338594525498782
2025-02-11,0.9295029923598066
2025-02-12,0.9295029923598066
2025-02-13,0.9267416307717105
2025-02-14,0.9527089312659338
2025-02-17,0.9451063139944317
2025-02-18,0.9539336069671397
2025-02-19,0.9539336069671397
2025-02-20,0.9434530564052607
2025-02-21,0.9195012292925365
2025-02-24,0.9215838605771819
2025-02-25,0.9204990463713111
2025-02-26,0.9227793571461846
2025-02-27,0.9227793571461846
2025-02-28,0.9227793571461846
2025-03-04,0.9150480740503061
2025-03-05,0.9383593167476608
2025-03-06,0.9301593656578677
2025-03-07,0.9221041855512706
2025-03-10,0.9313436694904943
2025-03-11,0.9136493731285148
2025-03-12,0.9181201745808782
2025-03-13,0.9181201745808782
2025-03-14,0.9060164895281185
2025-03-17,0.9144786835403111
2025-03-18,0.906559298140852
2025-03-19,0.910777658493785
2025-03-20,0.910777658493785
2025-03-21,0.910777658493785
2025-03-24,0.9045156017724818
2025-03-25,0.9045156017724818
2025-03-26,0.9045156017724818
2025-03-27,0.9045156017724818
2025-03-28,0.9045156017724818
2025-03-31,0.9045156017724818
2025-04-01,0.9077503150432767
2025-04-02,0.9077503150432767
2025-04-03,0.9077503150432767
2025-04-04,0.9243636800344533
2025-04-07,0.9334420653991603
2025-04-08,0.9186209675911495
2025-04-09,0.9186209675911495
2025-04-10,0.9136083529668987
2025-04-11,0.9136083529668987
2025-04-14,0.9351179100601386
2025-04-15,0.9351179100601386
2025-04-16,0.9351179100601386
2025-04-17,0.9351179100601386
2025-04-18,0.9351179100601386
2025-04-21,0.9351179100601386
2025-04-22,0.9351179100601386
2025-04-23,0.9351179100601386
2025-04-24,0.9351179100601386
2025-04-25,0.9351179100601386
2025-04-28,0.9351179100601386
2025-04-29,0.9351179100601386
2025-04-30,0.9270197889590177
2025-05-02,0.9270197889590177
2025-05-07,0.9270197889590177
2025-05-08,0.935678153787895
2025-05-09,0.935678153787895
2025-05-12,0.9455799650689103
2025-05-13,0.9373912425714135
2025-05-14,0.9466998188522329
2025-05-15,0.950099938628558
2025-05-16,0.950099938628558
2025-05-19,0.950099938628558
2025-05-20,0.9418720731600347
2025-05-21,0.9402210692057819
2025-05-22,0.9402210692057819
2025-05-23,0.9402210692057819
2025-05-26,0.9408604195328418
2025-05-27,0.9402394516559501
2025-05-28,0.9402394516559501
2025-05-29,0.9402394516559501
2025-05-30,0.9490212881344167
2025-06-02,0.9490212881344167
2025-06-04,0.9667490057967676
2025-06-05,0.9667490057967676
2025-06-09,0.9629653473126052
2025-06-10,0.9629653473126052
2025-06-11,0.9629653473126052
2025-06-12,0.954626067404878
2025-06-13,0.94912678056799
2025-06-16,0.94912678056799
2025-06-17,0.94912678056799
2025-06-18,0.9415527488590575
2025-06-19,0.9476241061045518
2025-06-20,0.9476241061045518
2025-06-23,0.9476241061045518
2025-06-24,0.9486959113994862
2025-06-25,0.9366202682678509
2025-06-26,0.9244362204764427
2025-06-27,0.9250648371063667
2025-06-30,0.9218975824525272
2025-07-01,0.9139139493884882
2025-07-02,0.9139139493884882
2025-07-03,0.8901704649833753
2025-07-04,0.890775780899564
2025-07-07,0.890775780899564
2025-07-08,0.9088524355216107
2025-07-09,0.9088524355216107
2025-07-10,0.9088524355216107
2025-07-11,0.9088524355216107
2025-07-14,0.9088524355216107
2025-07-15,0.9088524355216107
2025-07-16,0.9088524355216107
2025-07-17,0.9088524355216107
2025-07-18,0.9088524355216107
2025-07-21,0.9088524355216107
2025-07-22,0.9088524355216107
2025-07-23,0.9088524355216107
2025-07-24,0.9088524355216107
2025-07-25,0.9088524355216107
2025-07-28,0.9088524355216107
2025-07-29,0.9088524355216107
2025-07-30,0.9088524355216107
2025-07-31,0.9088524355216107
2025-08-01,0.9088524355216107
2025-08-04,0.9088524355216107
2025-08-05,0.9009817734299935
2025-08-06,0.9009817734299935
2025-08-07,0.9009817734299935
2025-08-08,0.9009817734299935
2025-08-11,0.8931792712720897
2025-08-12,0.8931792712720897
2025-08-13,0.8931792712720897
2025-08-14,0.8931792712720897
2025-08-18,0.8931792712720897
2025-08-19,0.8931792712720897
2025-08-20,0.8931792712720897
2025-08-21,0.8699744738044408
2025-08-22,0.8699744738044408
2025-08-25,0.8699744738044408
2025-08-26,0.8699744738044408
2025-08-27,0.8699744738044408
2025-08-28,0.8699744738044408
2025-08-29,0.8699744738044408
2025-09-01,0.8699744738044408
2025-09-02,0.8699744738044408
2025-09-03,0.8699744738044408
2025-09-04,0.8699744738044408
2025-09-05,0.8699744738044408
2025-09-08,0.8699744738044408
2025-09-09,0.8699744738044408
2025-09-10,0.8699744738044408
2025-09-11,0.8699744738044408
2025-09-12,0.8699744738044408
2025-09-15,0.8699744738044408
2025-09-16,0.8699744738044408
2025-09-17,0.8699744738044408
2025-09-18,0.8699744738044408
2025-09-19,0.8699744738044408
2025-09-22,0.8699744738044408
2025-09-23,0.8699744738044408
2025-09-24,0.8699744738044408
2025-09-25,0.8699744738044408
2025-09-26,0.8699744738044408
2025-09-29,0.8699744738044408
2025-09-30,0.8699744738044408
2025-10-01,0.8699744738044408
2025-10-02,0.8699744738044408
2025-10-10,0.8699744738044408
2025-10-13,0.8699744738044408
2025-10-14,0.8762640524107981
2025-10-15,0.8762640524107981
2025-10-16,0.8762640524107981
2025-10-17,0.8768599119664374
2025-10-20,0.8741587917117954
2025-10-21,0.8741587917117954
2025-10-22,0.8741587917117954
2025-10-23,0.8741587917117954
2025-10-24,0.8741587917117954
2025-10-27,0.8741587917117954
2025-10-28,0.8741587917117954
2025-10-29,0.8590183614393472
2025-10-30,0.8670415929351907
2025-10-31,0.8540432159559694
2025-11-03,0.8599346984315038
2025-11-04,0.8599346984315038
2025-11-05,0.8647235792187691
2025-11-06,0.8422580606306654
2025-11-07,0.8422580606306654
2025-11-10,0.8506974863981848
2025-11-11,0.8506974863981848
2025-11-12,0.8550309357968676
2025-11-13,0.8710029136775531
2025-11-14,0.8671767638645704
2025-11-17,0.8711217973845532
2025-11-18,0.8711217973845532
2025-11-19,0.8685029497542398
2025-11-20,0.8685029497542398
2025-11-21,0.8685029497542398
2025-11-24,0.862099160563867
2025-11-25,0.862099160563867
2025-11-26,0.862099160563867
2025-11-27,0.862099160563867
2025-11-28,0.862099160563867
2025-12-01,0.862099160563867
2025-12-02,0.862099160563867
2025-12-03,0.862099160563867
2025-12-04,0.862099160563867
2025-12-05,0.862099160563867
2025-12-08,0.8600230087532728
2025-12-09,0.8600230087532728
2025-12-10,0.865051433692945
2025-12-11,0.865051433692945
2025-12-12,0.865051433692945
2025-12-15,0.865051433692945
2025-12-16,0.8823764433293287
2025-12-17,0.8823764433293287
2025-12-18,0.8823764433293287
2025-12-19,0.873461599798291
2025-12-22,0.873461599798291
2025-12-23,0.881619731140407
2025-12-24,0.881619731140407
2025-12-26,0.881619731140407
2025-12-29,0.881619731140407
2025-12-30,0.881619731140407
2026-01-02,0.881619731140407
2026-01-05,0.881619731140407
2026-01-06,0.881619731140407
2026-01-07,0.8898540594292584
2026-01-08,0.8898540594292584
2026-01-09,0.8981652963443277
2026-01-12,0.8903871848779858
2026-01-13,0.8749656788358992
2026-01-14,0.8806942604344326
2026-01-15,0.8890568878467542
2026-01-16,0.9006514083092312
2026-01-19,0.8928517671132732
2026-01-20,0.8941406520946277
2026-01-21,0.9024919257851916
2026-01-22,0.9115348948815591
2026-01-23,0.9115348948815591
2026-01-26,0.9121547386100786
2026-01-27,0.9096824568212738
2026-01-28,0.9244030036948583
2026-01-29,0.9244030036948583
2026-01-30,0.9244030036948583
2026-02-02,0.922367146201465
2026-02-03,0.8984040477431509
2026-02-04,0.8906238686896951
2026-02-05,0.9024318447621039
2026-02-06,0.8831778254122004
2026-02-09,0.8776555553365776
2026-02-10,0.8858528582234212
2026-02-11,0.8781813724712063
2026-02-12,0.8781813724712063
2026-02-13,0.8781813724712063
2026-02-19,0.880767721605873
2026-02-20,0.8972204626454707
2026-02-23,0.8978305725600697
2026-02-24,0.8978305725600697
2026-02-25,0.8978305725600697
2026-02-26,0.9066738361668035
2026-02-27,0.9066738361668035
2026-03-03,0.9083158630814375
2026-03-04,0.9010675024940477
2026-03-05,0.910096198869038
2026-03-06,0.9022147657868321
2026-03-09,0.9112549577400162
2026-03-10,0.922576112958229
2026-03-11,0.9374953316158304
2026-03-12,0.942347333039089
2026-03-13,0.9409798480239969
2026-03-16,0.9334708288367655
2026-03-17,0.933032035493121
2026-03-18,0.933032035493121
2026-03-19,0.933032035493121
2026-03-20,0.9591755931276382
2026-03-23,0.9591755931276382
2026-03-24,0.9388316575257724
2026-03-25,0.9407534519085471
2026-03-26,0.9407534519085471
2026-03-27,0.9495400891493729
2026-03-30,0.9544077495443124
2026-03-31,0.9778020826812762
2026-04-01,0.9699992220614796
2026-04-02,0.9699992220614796
2026-04-03,0.9614549925968086
2026-04-06,0.9614549925968086
2026-04-07,0.953782581755886
2026-04-08,0.962690911069486
2026-04-09,0.9711946070145147
2026-04-10,0.9896534244042182
2026-04-13,0.9993311473636559
2026-04-14,1.0095364633398705
2026-04-15,1.0095364633398705
2026-04-16,1.0095364633398705
2026-04-17,1.0015766789034661
2026-04-20,0.9929030248641622
2026-04-21,0.9990654792422272
2026-04-22,0.9997448437681119
2026-04-23,0.9954197054385158
2026-04-24,0.9867993707894183
2026-04-27,0.9929869595187393
2026-04-28,0.9757884253798746
2026-04-29,0.9667597212039507
2026-04-30,0.9764466536104143
2026-05-04,0.9595345975698819
2026-05-06,0.9595345975698819
2026-05-07,0.9512250279549267
2026-05-08,0.942987419212837
2026-05-11,0.9480158996257895
2026-05-12,0.9474460301924617
2026-05-13,0.9228313823280615
2026-05-14,0.935540086574061
2026-05-15,0.9379429992584742
2026-05-18,0.913575240137739
2026-05-19,0.9062849097214399
2026-05-20,0.8827396277668769
2026-05-21,0.8658314843737964
2026-05-22,0.8681433137986846
2026-05-26,0.8606650386139544
2026-05-27,0.8597447082996788
2026-05-28,0.8715561955614537
2026-05-29,0.8489131656007671
2026-06-01,0.8415615775866645
2026-06-02,0.8416031506310198
2026-06-04,0.8197383007776259
2026-06-05,0.7984414997234232
2026-06-08,0.8064418835506518
2026-06-09,0.8290383851277411
2026-06-10,0.8224226588144217
2026-06-11,0.8454669417144018
2026-06-12,0.8691569254212395
2026-06-15,0.8704035057780452
2026-06-16,0.8477904226979315
2026-06-17,0.8562852827333648
2026-06-18,0.8456425581015173
