date,prob_up,profit_always,profit_beta_070
2025-01-02,0.3826988,100.0000000000012,0.0
2025-01-03,0.4916616,-318.54867509463645,0.0
2025-01-06,0.47427332,-56.53139511407224,0.0
2025-01-07,0.564094,-842.3184996405942,0.0
2025-01-08,0.56926954,-173.23607799130338,0.0
2025-01-10,0.5678293,-112.04074208803094,0.0
2025-01-13,0.5671422,200.00000000000017,0.0
2025-01-14,0.56452775,-315.3252480705637,0.0
2025-01-15,0.5642425,200.00000000000017,0.0
2025-01-16,0.5637697,-365.6953260242346,0.0
2025-01-17,0.5633049,74.62140610139834,0.0
2025-01-21,0.56227416,120.00574877838676,0.0
2025-01-22,0.54971683,200.00000000000017,0.0
2025-01-23,0.5470325,149.60358497069893,0.0
2025-01-24,0.5477551,-387.54465188380436,0.0
2025-01-27,0.5524737,200.00000000000017,0.0
2025-01-28,0.55411303,200.00000000000017,0.0
2025-01-29,0.5413203,-221.3438735177864,0.0
2025-01-30,0.5272815,125.91389114541052,0.0
2025-01-31,0.5194447,200.00000000000017,0.0
2025-02-03,0.5194447,200.00000000000017,0.0
2025-02-04,0.5194447,200.00000000000017,0.0
2025-02-05,0.5194447,200.00000000000017,0.0
2025-02-06,0.5194447,98.88557526291031,0.0
2025-02-07,0.5194447,47.98018882526067,0.0
2025-02-10,0.5194447,200.00000000000017,0.0
2025-02-11,0.5194447,16.593754714133713,0.0
2025-02-12,0.5194447,86.14059375480431,0.0
2025-02-13,0.5194447,200.00000000000017,0.0
2025-02-14,0.5194447,200.00000000000017,0.0
2025-02-18,0.5194447,-132.37063778580028,0.0
2025-02-19,0.5194447,-20.07024586051176,0.0
2025-02-20,0.5194447,5.713061486825044,0.0
2025-02-21,0.5194447,-400.59982862039266,0.0
2025-02-24,0.5194447,-459.8711189220861,0.0
2025-02-25,0.5194447,-257.7319587628857,0.0
2025-02-26,0.5194447,200.00000000000017,0.0
2025-02-27,0.5194447,-1099.9999999999998,0.0
2025-02-28,0.5194447,200.00000000000017,0.0
2025-03-03,0.5194447,-765.1202331794993,0.0
2025-03-04,0.5194447,200.00000000000017,0.0
2025-03-05,0.5194447,-23.813573737030413,0.0
2025-03-06,0.5194447,-260.724037699287,0.0
2025-03-07,0.5194447,200.00000000000017,0.0
2025-03-10,0.5194447,-265.6960873521386,0.0
2025-03-11,0.5194447,200.00000000000017,0.0
2025-03-12,0.5194447,200.00000000000017,0.0
2025-03-13,0.5194447,-123.89985473810205,0.0
2025-03-14,0.5194447,200.00000000000017,0.0
2025-03-17,0.5194447,-261.52843408831615,0.0
2025-03-18,0.36590463,100.00000000000009,0.0
2025-03-19,0.53111684,200.00000000000017,0.0
2025-03-20,0.4584146,-169.8841698841713,0.0
2025-03-21,0.50158316,64.99059346673607,0.0
2025-03-24,0.5485944,127.6276276276267,0.0
2025-03-25,0.65203786,11.61343840730078,0.0
2025-03-26,0.49378958,100.00000000000009,0.0
2025-03-27,0.5809747,200.00000000000017,0.0
2025-03-28,0.5836283,-163.24334020988317,0.0
2025-03-31,0.47968325,100.00000000000009,0.0
2025-04-01,0.5971186,150.2027276078155,0.0
2025-04-02,0.57190734,200.00000000000017,0.0
2025-04-03,0.5826451,200.00000000000017,0.0
2025-04-04,0.5746474,-465.06925487817097,0.0
2025-04-07,0.57402736,200.00000000000017,0.0
2025-04-08,0.56338876,-723.4370484539065,0.0
2025-04-09,0.56338876,200.00000000000017,0.0
2025-04-10,0.56338876,-164.57895218067176,0.0
2025-04-11,0.56338876,200.00000000000017,0.0
2025-04-14,0.56338876,-297.9581105950402,0.0
2025-04-15,0.5634585,200.00000000000017,0.0
2025-04-16,0.56330657,200.00000000000017,0.0
